2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:11,_qqk8w1367471186,成都,5,好看，感动。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:11,米粒13848098215,呼伦贝尔,5,很好的一部电影
2018-08-01 13:11,流年忘了谁,珠海,5,好看！！！！
2018-08-01 13:11,_qqk8w1367471186,成都,5,好看，感动。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:11,流年忘了谁,珠海,5,好看！！！！
2018-08-01 13:11,_qqk8w1367471186,成都,5,好看，感动。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:11,_qqk8w1367471186,成都,5,好看，感动。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:11,_qqk8w1367471186,成都,5,好看，感动。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,_qqk8w1367471186,成都,5,好看，感动。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,lxh900214wan,大连,5,精彩，值得一看！
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:11,zQR722434319,上海,5,太贴近生活了，现实中的人好多都这样，都看哭了
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:09,hCU490362035,常州,5,剧情紧凑不拖沓  情绪表达内敛又不失感染力
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:09,hCU490362035,常州,5,剧情紧凑不拖沓  情绪表达内敛又不失感染力
2018-08-01 13:09,九___九,昆明,4.5,哭的眼妆都没了 很震撼人心 前半段幽默风趣 后半段压抑写实 希望此类电影多有一下 突出反应国家存在的问题贴近民生~
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
2018-08-01 13:11,大药瓶子啊,大理,5,这部片子良心剧，看哭了吗的眼泪鼻涕停不下来啊，
2018-08-01 13:10,lvN26143002,苏州,5,感同身受 良心好片
2018-08-01 13:10,童心未泯的孩纸JT,武汉,5,好看！自然而然的被感动
2018-08-01 13:10,cCS915807744,西安,5,好吧ヽ( ￣д￣;)ノ
2018-08-01 13:10,EEf275613084,许昌,4,挺好的，就是中间出现点意外
2018-08-01 13:10,亮火虫好,峨眉山,5,好看，看着看着就哭了。
2018-08-01 13:10,滇源特产店,昆明,5,还可以！还可以
2018-08-01 13:09,煎饼人吖,六盘水,4.5,看完心中感慨良多，生活本无岁月静好，只是有人负重前行。如果能够引起全社会对此的一点点关注，大概也算不错了
2018-08-01 13:09,Jbf836085860,秦皇岛,5,真的很不错哦！
2018-08-01 13:09,UGT907571147,潮州,5,好看 不错，还会继续去
2018-08-01 13:09,薛定谔猫633,平顶山,5,一声叹息，两行热泪。
2018-08-01 13:09,yHP320230759,沈阳,5,好看极了，一个大老爷们哭了，18年目前为止最好的电影
2018-08-01 13:09,hCU490362035,常州,5,剧情紧凑不拖沓  情绪表达内敛又不失感染力
2018-08-01 13:09,九___九,昆明,4.5,哭的眼妆都没了 很震撼人心 前半段幽默风趣 后半段压抑写实 希望此类电影多有一下 突出反应国家存在的问题贴近民生~
2018-08-01 13:11,DmB781381713开心,哈尔滨,5,这题材很好，政府应该把有关的单位派去看看。
